-67.13808768	-29.71863239	546
>		547
-64.6777003	-30.738259	548
-64.19517008	-29.71842564	549
>		550
-70.61324616	-29.69083998	551
-70.94216412	-29.83804101	552
>		553
-70.61324616	-29.69083998	554
-70.441812	-29.934009	555
>		556
-69.13501092	-29.68867503	557
-69.84154188	-30.00658896	558
>		559
-69.13501092	-29.68867503	560
-69.11654508	-30.17321199	561
>		562
-67.88991782	-29.68186125	563
-67.84113887	-29.80737782	564
>		565
-67.30576014	-29.7752551	566
-67.49849648	-29.63248744	567
>		568
-70.14772512	-30.36316797	569
-69.776955	-29.63133702	570
>		571
-69.84154188	-30.00658896	572
-69.776955	-29.63133702	573
>		574
-70.61324616	-29.69083998	575
-70.44686712	-29.61727398	576
>		577
-70.44686712	-29.61727398	578
-70.44694108	-29.61598901	579
>		580
-63.50370853	-29.50887779	581
-64.3603145	-31.13880858	582
>		583
-71.40258	-30.03774399	584
-71.47708812	-29.50264197	585
>		586
-68.60515104	-29.47554801	587
-69.13501092	-29.68867503	588
>		589
-68.60515104	-29.47554801	590
-68.50354896	-29.77357896	591
>		592
-70.07220288	-29.44732599	593
-70.44686712	-29.61727398	594
>		595
-70.16483412	-29.87036397	596
-70.07220288	-29.44732599	597
>		598
-65.48460982	-29.5326724	599
-65.56789096	-29.44344261	600
>		601
-70.0706026	-29.44109419	602
-70.07220288	-29.44732599	603
>		604
-68.6611028	-29.4291287	605
-68.60515104	-29.47554801	606
>		607
-68.27473257	-29.92087929	608
-68.50579898	-29.42584535	609
>		610
-66.91798753	-29.41822544	611
-66.97449973	-29.8673487	612
>		613
-71.259687	-29.41688502	614
-71.47708812	-29.50264197	615
>		616
-67.89586647	-29.40227459	617
-67.88991782	-29.68186125	618
>		619
-70.77815208	-29.39563998	620
-70.61324616	-29.69083998	621
>		622
-67.49849648	-29.63248744	623
-67.60557223	-29.35052131	624
>		625
-70.77815208	-29.39563998	626
-70.46444916	-29.311812	627
>		628
-70.44694108	-29.61598901	629
-70.46444916	-29.311812	630
>		631
-70.94216412	-29.83804101	632
-70.83313596	-29.31123096	633
>		634
-70.83313596	-29.31123096	635
-70.77815208	-29.39563998	636
>		637
-68.80711167	-29.30799523	638
-68.6611028	-29.4291287	639
>		640
-68.57897007	-29.30332867	641
-68.6611028	-29.4291287	642
>		643
-67.92560973	-29.27140423	644
-67.89586647	-29.40227459	645
>		646
-71.41702701	-29.26574691	647
-71.4178873	-29.26798262	648
>		649
-71.47708812	-29.50264197	650
-71.41702701	-29.26574691	651
>		652
-67.60557223	-29.35052131	653
-67.45932504	-29.23281016	654
>		655
-67.45923537	-29.23630718	656
-67.45932504	-29.23281016	657
>		658
-67.45932504	-29.23281016	659
-67.45923537	-29.23273799	660
>		661
-67.45923537	-29.23273799	662
-67.45923537	-29.23630718	663
>		664
-67.45923537	-29.2291688	665
-67.45923537	-29.23273799	666
>		667
-65.48460982	-29.5326724	668
-65.45604647	-29.2232598	669
>		670
-69.61453704	-29.21312304	671
-70.0706026	-29.44109419	672
>		673
-69.776955	-29.63133702	674
-69.61453704	-29.21312304	675
>		676
-64.19517008	-29.71842564	677
-63.98815697	-29.21160044	678
>		679
-68.01186519	-29.20894338	680
-67.92560973	-29.27140423	681
>		682
-71.4178873	-29.26798262	683
-71.48955049	-29.20249181	684
>		685
-68.58610845	-29.19982211	686
-68.57897007	-29.30332867	687
>		688
-71.41702701	-29.26574691	689
-71.400096	-29.19896703	690
>		691
-67.13808768	-29.71863239	692
-67.31357292	-29.1981253	693
>		694
-68.53613977	-29.19625292	695
-68.58610845	-29.19982211	696
>		697
-68.50579898	-29.42584535	698
-68.53613977	-29.19625292	699
>		700
-70.00650177	-29.19048456	701
-70.46444916	-29.311812	702
>		703
-70.0706026	-29.44109419	704
-70.00650177	-29.19048456	705
>		706
-70.00622953	-29.19041243	707
-70.00650177	-29.19048456	708
>		709
-63.46705501	-29.16163176	710
-63.50370853	-29.50887779	711
>		712
-69.97768268	-29.078772	713
-70.00622953	-29.19041243	714
>		715
-69.97768268	-29.078772	716
